equipo local,goles local,goles visita,equipo visita
FC Cincinnati,3,1,Inter Miami CF
New York City,0,2,Philadelphia Union
Toronto FC,2,1,DC United
Los Angeles Galaxy,0,1,Orlando City
Atlanta United FC,3,3,Montreal Impact
Chicago Fire,3,1,Sporting Kansas City
Charlotte FC,3,1,New England Revolution
Minnesota United FC,1,0,San José Earthquakes
Houston Dynamo,1,1,Colorado Rapids
FC Dallas,4,1,Portland Timbers
Real Salt Lake,2,1,Nashville SC
New York Red Bulls,1,1,Columbus Crew
Austin FC,1,1,Seattle Sounders
Los Angeles FC,3,1,Vancouver Whitecaps
