equipo local,goles local,goles visita,equipo visita
Los Angeles FC,3,2,San José Earthquakes
New York Red Bulls,4,1,DC United
Atlanta United FC,1,2,Columbus Crew
Toronto FC,3,2,Chicago Fire
Orlando City,1,3,FC Dallas
Montreal Impact,4,3,FC Cincinnati
New England Revolution,1,1,Philadelphia Union
Minnesota United FC,0,1,New York City
Inter Miami CF,2,1,Portland Timbers
Sporting Kansas City,0,1,Vancouver Whitecaps
Colorado Rapids,1,3,Nashville SC
Real Salt Lake,3,0,Houston Dynamo
Los Angeles Galaxy,4,1,Austin FC
Seattle Sounders,2,1,Charlotte FC
